Diagnostic;Total
Autres affections precisees de l'oreille externe;6
Tumeur maligne de la peau de l'oreille et du conduit auditif externe;5
Maladie adhesive de l'oreille moyenne;3
Perichondrite de l'oreille externe;6
Surdite unilaterale de transmission sans alteration de l'audition de l'autre oreille;5
Cellulite de l'oreille externe;5
Affection de l'oreille, sans precision;7
Malformation congenitale de l'oreille avec atteinte de l'audition, sans precision;3
Plaie ouverte de l'oreille, sans complication;4
Naevus e melanocytes de l'oreille et du conduit auditif externe;11
Polype de l'oreille moyenne;8
Autres affections precisees de l'oreille moyenne et de l'apophyse mastoede au cours de maladies classees ailleurs;3
Autres affections precisees de l'oreille moyenne et de l'apophyse mastoede;5
Surdite neurosensorielle unilaterale sans alteration de l'audition de l'autre oreille;4
Lesion traumatique superficielle de l'oreille;4
Hemangiome de l'oreille, du nez, de la bouche et de la gorge;8
Autres malformations congenitales precisees de l'oreille;5
Autres affections de l'oreille et de l'apophyse mastoede postintervention;4
Corps etranger dans l'oreille;8
Autres affections precisees de l'oreille au cours de maladies classees ailleurs;2
Carcinome in situ de la peau de l'oreille et du conduit auditif externe;5
Oreilles proeminentes;4
Plaie ouverte de l'oreille, avec complication;2
Autres affections precisees de l'oreille;7
Malformation congenitale de l'oreille interne;5
Autres maladies precisees de l'oreille interne;1
Examen des oreilles et de l'audition;7
Autres tumeurs benignes de la peau de l'oreille et du conduit auditif externe;6
Examen special de depistage des affections des yeux et des oreilles;5
Malformation congenitale de l'oreille, sans precision;3
Affection de l'oreille et de l'apophyse mastoede postintervention, sans precision;13
Affections vasculaires et degeneratives de l'oreille;7
Absence congenitale du pavillon de l'oreille;7
Affection de l'oreille externe, sans precision;6
Affections non infectieuses du pavillon de l'oreille;7
Anomalie de position de l'oreille;4
Thrombose de l'oreillette, de l'auricule et du ventricule comme complication courante survenant apres un infarctus aigu du myocarde;10
Cholesteatome de l'oreille moyenne;2
Surdite unilaterale mixte de transmission et neurosensorielle sans alteration de l'audition de l'autre oreille;11
Affection de l'oreille moyenne et de l'apophyse mastoede, sans precision;5
Autres affections de l'oreille externe au cours de maladies classees ailleurs;2
Melanome malin de l'oreille et du conduit auditif externe;7
Tumeur maligne de l'oreille moyenne;6
Tumeur benigne de l'oreille moyenne, des fosses nasales et des sinus de la face;7
Autres deformations de l'oreille;7
Oreilles e en chou-fleur e;5
Maladie de l'oreille interne, sans precision;4
Melanome in situ de l'oreille et du conduit auditif externe;4
Cholesteatome de l'oreille externe;5
Antecedents familiaux de troubles de l'oeil et de l'oreille;4
Abces de l'oreille externe;5
Consequences du bruit sur l'oreille interne;6
Tuberculose de l'oreille;4
Barotraumatisme de l'oreille;2
Pereage de l'oreille;4
Amputation traumatique de l'oreille;7
Autres malformations congenitales de l'oreille moyenne;6
