Diagnostic;Total
Abces du penis;2
Abces uretral;1
Abces de la gaine du tendon, partie inferieure de la jambe;1
Abces du sein associe e l'accouchement, accouchement, avec mention de complications post-partum;1
Abces de la gaine du tendon, autre site;1
Diverticulose du celon et de l'intestin grele, avec perforation et abces;2
Abces du thymus;1
Abces phaeohyphomycosique du cerveau;1
Diverticulose du celon, sans perforation ni abces;1
Abces du sein associe e l'accouchement, troubles ou complications antepartum;1
